student_id,age,gender,study_hours_per_day,sleep_hours,phone_usage_hours,social_media_hours,youtube_hours,gaming_hours,breaks_per_day,coffee_intake_mg,exercise_minutes,assignments_completed,attendance_percentage,stress_level,focus_score,productivity_score,final_grade
131,25,Male,3.88,8.42,4.19,2.3,1.35,1.59,7,193 mg,76.0,7,72.23%,5,35.0,75.21,89.74
132,24,Female,5.97,6.13,2.25,1.08,0.85,0.8,5,445 mg,46.0,10,77.10%,8,39.99,73.63,75.85
133,29,Male,2.79,6.67,6.69,2.53,2.22,3.62,10,343 mg,,3,58.74%,9,15.49,45.6,52.66
134,21,Male,8.23,4.87,8.83,4.32,3.68,4.45,5,406 mg,24.0,14,88.79%,6,9.47,42.92,90.72
135,25,Male,4.7,8.28,4.83,1.84,2.31,0.0,7,211 mg,108.0,7,67.98%,5,37.69,77.57,70.9
136,23,Female,10.51,6.93,2.18,1.52,0.0,1.82,3,267 mg,70.0,17,96.83%,3,54.09,100.0,86.38
137,24,Female,4.28,4.36,6.07,3.18,2.38,4.07,6,404 mg,31.0,10,67.66%,8,8.48,31.35,83.55
138,29,Male,5.89,5.95,5.05,1.77,1.39,1.09,9,297 mg,58.0,10,80.25%,7,23.8,56.37,68.47
139,30,Male,3.11,5.4,9.18,4.31,3.17,2.18,5,414 mg,49.0,7,60.86%,9,0.0,26.6,79.56
140,18,Male,8.82,6.83,2.37,1.53,0.94,0.0,6,207 mg,75.0,20,100.00%,2,52.57,88.79,88.58
141,25,Male,6.27,7.22,4.66,1.8,1.4,0.49,6,362 mg,90.0,9,85.83%,6,30.13,69.11,75.51
142,18,Male,7.39,6.23,3.98,1.51,1.69,2.18,4,267 mg,35.0,11,88.11%,7,36.13,64.29,69.19
143,23,Other,7.89,7.26,5.52,3.11,1.63,2.2,7,501 mg,19.0,16,90.51%,6,27.43,61.76,90.05
144,24,Female,6.99,5.56,6.72,2.34,2.29,2.58,5,510 mg,4.0,12,94.50%,9,14.78,45.01,88.6
145,17,Female,3.29,5.83,6.47,3.28,2.7,2.8,11,314 mg,44.0,4,61.86%,8,6.36,37.81,54.75
146,30,Male,7.17,6.81,6.22,3.74,1.92,3.35,8,335 mg,65.0,16,99.34%,6,36.83,68.49,79.64
147,30,Female,1.61,8.79,5.63,2.26,1.42,0.8,10,273 mg,68.0,2,57.69%,5,13.51,39.77,67.65
148,23,Female,4.52,6.0,1.94,1.12,0.05,0.12,6,301 mg,59.0,8,61.17%,6,46.29,77.54,78.56
149,19,Male,6.48,6.97,5.05,2.26,1.41,2.14,8,333 mg,60.0,10,76.99%,4,39.18,67.26,88.12
150,30,Other,8.93,7.9,0.97,0.85,0.17,0.0,2,237 mg,50.0,16,98.59%,4,52.58,94.7,82.15
151,25,Other,2.77,6.11,9.3,4.37,2.04,4.85,7,402 mg,29.0,7,63.39%,8,1.25,29.82,49.21
152,23,Male,1.1,5.55,9.95,4.17,3.57,2.97,8,412 mg,71.0,3,63.04%,8,0.0,20.22,42.16
153,30,Male,7.77,8.45,1.91,0.5,0.0,0.0,4,220 mg,59.0,15,92.94%,2,59.66,99.33,94.2
154,17,Female,7.5,5.31,8.17,3.34,2.09,2.38,1,443 mg,33.0,15,86.18%,7,3.65,41.67,72.21
155,27,Female,5.56,7.59,4.43,2.22,1.87,2.48,10,279 mg,82.0,9,79.55%,5,35.67,80.32,51.37
156,25,Female,6.47,5.32,6.09,3.29,3.23,1.04,8,343 mg,45.0,11,77.04%,8,12.78,44.06,61.4
157,27,Male,9.61,5.92,1.84,1.27,0.37,1.82,7,413 mg,72.0,18,100.00%,6,31.61,88.07,84.04
158,27,Female,2.62,5.6,8.46,3.6,3.64,1.76,8,464 mg,49.0,2,54.22%,9,0.0,24.53,75.36
159,28,Female,4.6,4.08,10.85,4.91,4.34,2.16,7,567 mg,17.0,7,71.04%,10,0.0,19.77,58.5
160,27,Female,7.16,8.35,7.77,3.51,2.06,1.59,4,299 mg,104.0,13,78.32%,6,24.5,70.31,81.15
161,29,Female,9.02,4.96,2.42,1.0,0.0,0.66,4,378 mg,47.0,16,87.28%,5,32.8,81.1,89.62
162,20,Female,7.0,6.55,6.8,2.99,2.98,2.08,9,431 mg,47.0,12,80.43%,10,2.88,57.25,55.39
163,25,Female,6.33,6.36,6.72,3.48,2.21,1.81,7,357 mg,76.0,12,81.54%,6,29.21,77.57,93.09
164,20,Male,9.12,7.56,0.0,0.0,0.06,0.51,2,116 mg,68.0,15,89.52%,2,63.32,100.0,68.07
165,26,Male,5.24,6.7,7.67,3.22,1.92,1.68,8,340 mg,46.0,10,69.22%,6,27.71,61.1,69.94
166,28,Female,6.95,4.79,3.62,1.42,1.9,2.45,8,367 mg,36.0,14,85.76%,7,19.31,48.02,57.08
167,28,Female,4.15,6.45,6.98,1.76,1.77,3.1,9,403 mg,69.0,9,64.67%,9,11.55,49.76,79.63
168,25,Female,2.24,6.32,6.5,2.23,1.88,4.01,12,452 mg,77.0,3,58.34%,7,16.01,49.67,57.13
169,19,Male,7.78,6.68,7.69,4.2,1.98,3.93,3,441 mg,17.0,14,81.96%,8,17.84,46.64,64.2
170,18,Male,5.58,5.54,6.08,2.42,2.77,0.97,4,405 mg,60.0,14,78.28%,7,19.19,46.74,80.91
171,26,F,7.19,5.07,8.33,4.47,3.34,3.81,3,457 mg,33.0,15,84.38%,5,14.63,53.48,71.4
172,30,Male,5.67,5.58,4.42,3.38,1.01,2.48,7,405 mg,72.0,13,70.40%,7,26.68,61.61,72.66
173,20,Male,5.0,5.5,7.3,4.43,1.44,4.0,5,328 mg,58.0,8,76.30%,7,16.05,57.83,86.04
174,24,Male,6.64,4.42,5.78,3.29,0.89,0.47,7,473 mg,3.0,10,72.72%,7,18.6,61.21,60.67
175,18,Male,6.25,6.11,4.5,1.96,2.15,1.5,2,340 mg,54.0,12,90.25%,7,12.51,56.89,93.12
176,29,Male,4.69,8.29,4.79,2.67,1.98,2.49,9,331 mg,83.0,10,82.33%,4,48.33,73.0,70.85
177,17,Male,6.89,7.07,5.74,2.29,1.51,2.75,10,389 mg,76.0,11,70.42%,7,29.7,63.98,77.81
178,27,Female,4.39,7.3,6.05,2.76,1.38,2.61,3,347 mg,30.0,9,71.68%,8,16.28,44.65,55.83
179,25,Male,2.48,7.14,9.44,3.75,2.71,4.35,10,287 mg,62.0,1,58.76%,7,0.0,33.14,81.69
180,29,Female,0.93,6.16,11.14,4.84,3.95,4.27,11,461 mg,40.0,6,67.74%,10,0.0,22.9,72.33
181,24,Female,2.92,5.41,11.95,5.67,3.39,4.05,10,600 mg,0.0,5,58.87%,10,0.0,14.43,52.9
182,21,Male,1.48,6.54,10.99,5.05,3.58,2.87,10,328 mg,60.0,0,52.67%,8,0.0,8.66,61.58
183,20,Male,6.22,5.68,8.1,3.04,2.54,3.65,8,353 mg,14.0,12,67.31%,7,12.85,40.59,74.57
184,19,Female,4.41,7.4,6.03,2.46,1.44,1.84,6,295 mg,69.0,10,68.47%,6,26.43,43.36,84.83
185,19,Female,2.62,6.09,5.75,2.65,1.84,0.23,8,456 mg,23.0,8,65.90%,8,5.19,27.01,58.68
186,19,Female,3.46,6.05,7.2,3.14,1.99,3.27,10,440 mg,23.0,4,69.89%,9,18.38,48.13,67.82
187,29,Male,6.38,4.63,3.86,1.62,1.57,0.49,5,377 mg,38.0,16,90.69%,5,22.36,47.72,72.82
188,17,Female,6.96,7.53,3.54,1.56,1.67,0.14,8,264 mg,,11,90.27%,5,52.66,91.59,58.81
189,30,Female,1.32,4.53,10.54,4.68,4.05,3.89,7,587 mg,30.0,7,66.15%,10,0.0,6.29,61.14
190,26,Female,6.71,6.9,2.77,0.81,1.18,0.0,5,236 mg,49.0,8,81.55%,5,59.64,75.67,68.18
191,20,Female,3.33,4.72,6.61,2.65,1.74,2.19,5,517 mg,0.0,8,64.94%,10,0.0,18.39,57.79
192,22,Male,7.19,6.88,2.96,1.33,1.42,1.82,4,273 mg,98.0,14,82.90%,4,52.73,99.39,74.2
193,18,Female,9.39,6.65,2.76,0.82,1.74,0.0,0,154 mg,74.0,20,96.77%,2,42.9,89.47,64.73
194,26,Male,2.34,4.96,9.74,4.59,2.64,1.62,10,430 mg,27.0,3,54.57%,9,0.0,30.21,54.97
195,26,Male,4.11,6.9,3.15,0.62,0.68,0.5,11,259 mg,64.0,9,67.32%,5,32.07,58.78,71.92
196,27,Female,7.41,7.73,4.15,2.51,0.86,0.66,5,201 mg,68.0,14,98.72%,5,48.45,74.92,78.29
197,26,Male,4.57,5.42,5.1,3.48,1.01,0.83,8,296 mg,56.0,10,69.56%,6,26.47,55.32,60.7
198,29,Female,2.0,5.42,9.55,4.07,2.68,3.5,9,467 mg,37.0,2,61.74%,10,0.0,16.24,35.25
199,29,Female,8.86,4.12,3.38,0.42,0.87,1.95,6,321 mg,47.0,18,100.00%,4,40.27,77.42,74.79
200,18,Male,7.09,4.55,3.47,1.81,1.56,0.19,7,418 mg,46.0,8,76.36%,7,16.18,54.28,72.19
201,22,Male,3.72,4.76,8.55,3.42,3.86,2.8,7,504 mg,25.0,7,59.39%,10,0.0,37.89,54.37
202,30,Female,6.6,4.95,7.67,2.68,3.01,3.4,11,445 mg,36.0,11,79.55%,7,16.99,61.62,70.03
203,22,M,3.71,9.16,4.87,2.6,0.15,0.78,8,195 mg,86.0,5,69.84%,6,19.7,50.83,78.54
204,23,Female,8.23,8.35,4.28,1.78,0.31,0.67,6,285 mg,50.0,14,94.11%,6,33.73,66.84,77.5
205,19,Male,8.33,6.41,2.17,0.05,1.03,1.81,3,391 mg,75.0,19,85.13%,5,40.8,83.8,74.72
206,18,Female,10.82,6.34,0.0,0.0,0.0,0.0,6,302 mg,40.0,17,94.68%,5,42.13,92.41,91.47
207,30,Male,7.31,8.41,1.0,0.44,0.0,0.17,5,193 mg,108.0,14,84.39%,2,59.83,90.12,100.0
208,19,Male,2.06,6.15,10.81,4.61,3.09,3.12,9,335 mg,85.0,0,59.40%,8,0.0,19.59,65.18
209,24,Female,9.37,7.58,2.66,1.81,1.1,2.1,4,183 mg,64.0,19,90.81%,4,45.94,89.73,88.92
210,21,Female,8.13,4.82,8.06,4.01,2.69,4.48,8,393 mg,61.0,15,96.03%,6,14.13,55.01,66.27
211,23,Male,1.84,3.65,11.91,5.82,2.86,5.49,6,546 mg,3.0,2,61.93%,10,0.0,12.94,50.67
212,30,Male,4.11,5.45,3.11,0.93,1.36,1.01,11,419 mg,13.0,6,60.79%,9,20.89,57.87,85.22
213,26,Female,8.78,5.55,1.77,0.61,0.43,1.04,7,278 mg,61.0,12,93.78%,6,22.76,69.54,82.85
214,21,Male,5.33,6.75,10.98,4.27,3.06,4.46,9,259 mg,77.0,9,74.44%,5,7.24,46.63,58.33
215,24,Female,4.99,3.68,12.0,5.6,2.85,3.13,12,506 mg,22.0,8,62.66%,10,0.0,17.13,74.65
216,17,Male,5.91,5.81,7.74,4.15,3.95,1.68,9,453 mg,1.0,7,68.67%,8,3.32,34.21,60.23
217,20,Female,8.12,9.03,3.87,1.6,0.29,1.35,8,291 mg,90.0,15,85.15%,3,39.01,81.75,91.44
218,17,Male,6.27,7.3,3.94,1.83,1.47,2.18,4,176 mg,107.0,10,89.60%,4,51.88,88.35,95.82
219,27,Male,2.78,7.34,6.44,2.93,1.86,3.41,9,265 mg,85.0,4,61.78%,6,9.0,54.5,54.12
